date,volatility,stock
2021-09-15,2.436568E-4,aapl
2021-09-16,2.3241818E-4,aapl
2021-09-17,2.1968657E-4,aapl
2021-09-20,2.326532E-4,aapl
2021-09-21,2.5332446E-4,aapl
2021-09-22,2.3934423E-4,aapl
2021-09-23,2.4597766E-4,aapl
2021-09-24,2.3505624E-4,aapl
2021-09-27,2.2192392E-4,aapl
2021-09-28,2.1807123E-4,aapl
2021-09-29,2.482951E-4,aapl
2021-09-30,2.3693954E-4,aapl
2021-10-01,2.2991793E-4,aapl
2021-10-04,2.2195E-4,aapl
2021-10-05,2.5473136E-4,aapl
2021-10-06,2.540286E-4,aapl
2021-10-07,2.4198959E-4,aapl
2021-10-08,2.3409385E-4,aapl
2021-10-11,2.2155751E-4,aapl
2021-10-12,2.0965708E-4,aapl
2021-10-13,2.0484206E-4,aapl
2021-10-14,1.9573815E-4,aapl
2021-10-15,2.150696E-4,aapl
2021-10-18,2.0776995E-4,aapl
2021-10-19,2.0702915E-4,aapl
2021-10-20,2.1257649E-4,aapl
2021-10-21,2.02278E-4,aapl
2021-10-22,1.9226263E-4,aapl
2021-10-25,1.8502805E-4,aapl
2021-10-26,1.7643665E-4,aapl
2021-10-27,1.701219E-4,aapl
2021-10-28,1.6359771E-4,aapl
2021-10-29,2.008788E-4,aapl
2021-11-01,2.1503645E-4,aapl
2021-11-02,2.0598127E-4,aapl
2021-11-03,1.9909702E-4,aapl
2021-11-04,1.9607006E-4,aapl
2021-11-05,1.8734977E-4,aapl
2021-11-08,1.7946053E-4,aapl
2021-11-09,1.7360356E-4,aapl
2021-11-10,1.6648018E-4,aapl
2021-11-11,1.8656232E-4,aapl
2021-11-12,1.7783117E-4,aapl
2021-11-15,1.8449653E-4,aapl
2021-11-16,1.7594575E-4,aapl
2021-11-17,1.7135649E-4,aapl
2021-11-18,1.8328975E-4,aapl
2021-11-19,2.3192544E-4,aapl
2021-11-22,2.3948189E-4,aapl
2021-11-23,2.2653508E-4,aapl
2021-11-24,2.145742E-4,aapl
2021-11-26,2.0405633E-4,aapl
2021-11-29,2.6843144E-4,aapl
2021-11-30,2.8598504E-4,aapl
2021-12-01,3.378652E-4,aapl
2021-12-02,3.1607854E-4,aapl
2021-12-03,2.9825934E-4,aapl
2021-12-06,2.893675E-4,aapl
2021-12-07,3.0388983E-4,aapl
2021-12-08,3.719269E-4,aapl
2021-12-09,3.828812E-4,aapl
2021-12-10,3.5688627E-4,aapl
2021-12-13,3.8765304E-4,aapl
2021-12-14,3.920497E-4,aapl
2021-12-15,3.692599E-4,aapl
2021-12-16,4.0083978E-4,aapl
2021-12-17,4.8824484E-4,aapl
2021-12-20,4.5507596E-4,aapl
2021-12-21,4.2665732E-4,aapl
2021-12-22,4.2180636E-4,aapl
2021-12-23,4.0828885E-4,aapl
2021-12-27,3.802937E-4,aapl
2021-12-28,3.9109535E-4,aapl
2021-12-29,3.6612558E-4,aapl
2021-12-30,3.4103793E-4,aapl
2021-12-31,3.213592E-4,aapl
2022-01-03,3.0123763E-4,aapl
2022-01-04,3.2601616E-4,aapl
2022-01-05,3.1632837E-4,aapl
2022-01-06,3.4816287E-4,aapl
2022-01-07,3.4512478E-4,aapl
2022-01-10,3.2200347E-4,aapl
2022-01-11,3.0092016E-4,aapl
2022-01-12,3.0173187E-4,aapl
2022-01-13,2.8297032E-4,aapl
2022-01-14,2.9205403E-4,aapl
2022-01-18,2.7557323E-4,aapl
2022-01-19,2.8495298E-4,aapl
2022-01-20,2.9979795E-4,aapl
2022-01-21,2.885369E-4,aapl
2022-01-24,2.824019E-4,aapl
2022-01-25,2.666412E-4,aapl
2022-01-26,2.6005477E-4,aapl
2022-01-27,2.4463973E-4,aapl
2022-01-28,2.3123338E-4,aapl
